JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
120732895,NB,12/15/16,1088698,Manhattan,21,EAST 1ST STREET,10003,65,,Issued,New,17,Temporary,40.724386,-73.99111,3602,East Village,"(40.724386, -73.99111)"
104370495,NB,12/15/16,1087698,Manhattan,22,EAST    1 STREET,10003,90,0,Issued,New,45,Temporary,40.724422,-73.99115,3602,East Village,"(40.724422, -73.99115)"
122611735,A1,1/23/18,1015204,Manhattan,128,WEST 34TH STREET,10001,,,Issued,New,4,Temporary,40.75039,-73.989223,101,Midtown-Midtown South,"(40.75039, -73.989223)"
100333970,A1,12/15/16,1047067,Manhattan,1295,MADISON AVENUE,10128,90,90,Issued,New,12,Temporary,40.78476,-73.955952,16001,Upper East Side-Carnegie Hill,"(40.78476, -73.955952)"
121182950,A1,12/15/16,1059072,Manhattan,316,WEST 118 STREET,10026,1,0,Issued,New,19,Temporary,40.80599,-73.955068,20102,Central Harlem South,"(40.80599, -73.955068)"
104156574,A1,12/14/16,1000824,Manhattan,25,BROAD STREET,10004,1,,Issued,New,32,Temporary,40.706114,-74.01126,9,Battery Park City-Lower Manhattan,"(40.706114, -74.01126)"
123004998,A1,2/12/18,1015209,Manhattan,140,WEST 34TH STREET,10001,,,Issued,New,1,Final,40.750475,-73.989421,101,Midtown-Midtown South,"(40.750475, -73.989421)"
121953494,A1,12/14/16,1001061,Manhattan,85,WEST STREET,10006,525,515,Issued,New,7,Temporary,40.709646,-74.014875,13,Battery Park City-Lower Manhattan,"(40.709646, -74.014875)"
121988091,A1,12/14/16,1087322,Manhattan,535,EAST 5TH STREET,10009,30,30,Issued,New,9,Temporary,40.724484,-73.983487,32,East Village,"(40.724484, -73.983487)"
121181844,A1,2/15/19,1015219,Manhattan,151,WEST 34TH STREET,10001,,,Issued,New,12,Temporary,40.750516,-73.989479,109,Midtown-Midtown South,"(40.750516, -73.989479)"
121813591,A1,11/1/17,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,13,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
121813591,A1,8/1/17,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,12,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
121813591,A1,5/16/17,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,11,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
122049924,A1,12/14/16,1002929,Manhattan,18,DESBROSSES STREET,10013,39,38,Issued,New,8,Temporary,40.723398,-74.009081,39,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723398, -74.009081)"
121813591,A1,2/16/17,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,10,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
122241760,A1,12/14/16,1006832,Manhattan,222,EAST 12 STREET,10003,18,23,Issued,New,4,Final,40.731498,-73.987065,40,East Village,"(40.731498, -73.987065)"
121186340,A1,12/14/16,1007860,Manhattan,264,ELIZABETH STREET,10012,8,9,Issued,New,7,Temporary,40.723843,-73.993686,43,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723843, -73.993686)"
103940568,A1,12/14/16,1007944,Manhattan,594,BROADWAY,10012,1,,Issued,New,1,Temporary,40.72496,-73.997157,43,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72496, -73.997157)"
121332156,A1,12/14/16,1082769,Manhattan,2,STUYVESANT OVAL,10009,210,210,Issued,New,2,Temporary,40.731208,-73.977799,44,Stuyvesant Town-Cooper Village,"(40.731208, -73.977799)"
121186359,A1,12/14/16,1082877,Manhattan,270,1ST AVENUE,10009,96,94,Issued,New,3,Temporary,40.732554,-73.981537,44,Stuyvesant Town-Cooper Village,"(40.732554, -73.981537)"
121813591,A1,11/22/16,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,9,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
121813591,A1,8/29/16,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,8,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
120027434,NB,12/14/16,1089842,Manhattan,27,WOOSTER STREET,10013,15,0,Issued,New,5,Temporary,40.721828,-74.003124,47,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721828, -74.003124)"
103952126,A1,12/14/16,1007605,Manhattan,104,GREENE STREET,10012,19,27,Issued,New,16,Temporary,40.724373,-73.999867,49,SoHo-TriBeCa-Civic Center-Little Italy,"(40.724373, -73.999867)"
121813591,A1,6/2/16,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,7,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
110392030,A1,12/14/16,1015415,Manhattan,17,WEST 17TH STREET,10011,1,0,Issued,New,12,Temporary,40.738283,-73.993072,54,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.738283, -73.993072)"
121813591,A1,2/25/16,1001018,Manhattan,40,WALL STREET,10005,,,Issued,New,6,Temporary,40.706625,-74.009875,7,Battery Park City-Lower Manhattan,"(40.706625, -74.009875)"
