GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061024900,36061024900,"Census Tract 249, New York County, New York",387,26,0,11,5,7,0,11,4,9,0,11,27,21,14,12,29,21,308,36
1400000US36061025100,36061025100,"Census Tract 251, New York County, New York",856,39,0,11,7,12,7,10,28,31,23,15,19,19,50,27,125,53,597,74
1400000US36061025300,36061025300,"Census Tract 253, New York County, New York",3934,66,0,18,13,21,53,67,165,94,166,80,196,111,224,94,553,162,2564,235
1400000US36061025500,36061025500,"Census Tract 255, New York County, New York",2264,116,0,16,0,16,19,24,28,34,182,105,122,72,103,76,158,91,1652,199
1400000US36061025700,36061025700,"Census Tract 257, New York County, New York",2001,50,49,38,771,104,45,34,12,14,69,48,59,46,45,35,29,27,922,121
1400000US36061025900,36061025900,"Census Tract 259, New York County, New York",1737,55,145,79,713,100,96,61,63,41,149,71,66,49,32,28,21,19,452,89
1400000US36061026100,36061026100,"Census Tract 261, New York County, New York",3820,88,0,18,57,46,0,18,67,48,96,66,475,143,180,91,272,93,2673,218
1400000US36061026300,36061026300,"Census Tract 263, New York County, New York",2937,82,0,16,0,16,14,21,0,16,59,53,394,133,255,95,188,103,2027,191
1400000US36061026500,36061026500,"Census Tract 265, New York County, New York",2976,55,0,16,16,25,0,16,57,49,26,31,33,38,371,102,296,138,2177,187
1400000US36061026700,36061026700,"Census Tract 267, New York County, New York",634,28,0,11,0,11,5,7,0,11,22,23,22,16,59,30,99,44,427,56
1400000US36061026900,36061026900,"Census Tract 269, New York County, New York",2791,70,0,16,60,61,9,17,40,38,54,44,15,23,126,71,201,112,2286,156
1400000US36061027100,36061027100,"Census Tract 271, New York County, New York",3032,76,38,59,118,80,0,16,13,21,44,42,79,49,165,76,264,110,2311,182
1400000US36061027300,36061027300,"Census Tract 273, New York County, New York",3374,87,0,16,0,16,0,16,14,22,0,16,128,79,245,103,351,126,2636,189
1400000US36061027500,36061027500,"Census Tract 275, New York County, New York",1690,71,0,11,45,49,0,11,0,11,49,39,159,59,70,41,194,63,1173,106
1400000US36061027700,36061027700,"Census Tract 277, New York County, New York",2166,56,0,16,0,16,13,23,17,28,93,56,40,40,49,48,181,82,1773,128
1400000US36061027900,36061027900,"Census Tract 279, New York County, New York",4156,73,26,30,16,26,12,19,13,22,156,88,145,79,583,155,366,148,2839,230
1400000US36061028100,36061028100,"Census Tract 281, New York County, New York",1414,24,9,14,0,11,0,11,6,9,22,24,229,72,119,50,340,87,689,104
