GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1400000US36061022800,36061022800,"Census Tract 228, New York County, New York",1285,283,471,182,88,79,130,98,199,131,397,136
1400000US36061022900,36061022900,"Census Tract 229, New York County, New York",1581,299,344,163,100,70,351,158,61,56,725,225
1400000US36061023000,36061023000,"Census Tract 230, New York County, New York",1484,321,426,163,35,36,238,123,89,62,696,256
1400000US36061023100,36061023100,"Census Tract 231, New York County, New York",2166,494,722,226,54,52,194,128,82,89,1114,314
1400000US36061023200,36061023200,"Census Tract 232, New York County, New York",857,233,266,155,41,69,144,95,60,67,346,185
1400000US36061023300,36061023300,"Census Tract 233, New York County, New York",1702,371,713,236,89,79,160,83,57,54,683,209
1400000US36061023400,36061023400,"Census Tract 234, New York County, New York",1314,251,360,137,103,81,254,106,45,43,552,132
1400000US36061023501,36061023501,"Census Tract 235.01, New York County, New York",1211,256,381,130,64,56,35,29,167,90,564,216
1400000US36061023502,36061023502,"Census Tract 235.02, New York County, New York",359,155,53,41,0,11,86,118,6,9,214,76
1400000US36061023600,36061023600,"Census Tract 236, New York County, New York",812,277,183,109,95,94,69,74,11,19,454,225
1400000US36061023700,36061023700,"Census Tract 237, New York County, New York",1296,340,330,166,83,67,231,147,34,36,618,272
1400000US36061023801,36061023801,"Census Tract 238.01, New York County, New York",4763,544,2219,428,460,236,593,215,314,205,1177,307
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",831,143,329,78,23,24,79,38,30,30,370,119
