20947,MOOPS,Jack Russell Terrier,Manhattan,7,6/12/15,7/8/17
21303,EEYORE,Labrador Retriever,Manhattan,7,6/15/15,6/15/16
21421,VENUS,Brussels Griffon,Manhattan,7,6/16/15,6/25/16
21485,FRIDA,Brussels Griffon,Manhattan,7,6/16/15,6/25/16
22171,COCO,Dachshund,Manhattan,7,6/22/15,6/22/16
23366,NEO,Jack Russell Terrier,Manhattan,7,6/30/15,7/24/16
23791,LADY ,German Shepherd Crossbreed,Manhattan,7,7/3/15,7/12/16
24525,ANDY,Labrador Retriever,Manhattan,7,7/8/15,7/8/16
24685,BLUESY,Pekingese,Manhattan,7,7/10/15,7/10/16
25625,NAME NOT PROVIDED,Shiba Inu,Manhattan,7,7/19/15,7/19/16
26085,UNKNOWN,Shiba Inu,Manhattan,7,7/23/15,7/23/16
26416,GLO,Pomeranian,Manhattan,7,7/25/15,7/25/16
26975,CASTIEL,Cavalier King Charles Spaniel,Manhattan,7,7/29/15,8/18/18
27019,MILO,Cavalier King Charles Spaniel,Manhattan,7,7/29/15,9/7/18
27135,LARKIN,Terrier Crossbreed,Manhattan,7,7/30/15,7/30/16
27303,RILEY,Unknown,Manhattan,7,7/31/15,8/16/16
28221,CHIQUITA,Chihuahua,Manhattan,7,8/7/15,8/7/16
28693,MAXWELL,Beagle,Manhattan,7,8/11/15,8/11/16
28830,ATREU ,Saint Bernard,Manhattan,7,8/12/15,6/24/16
29886,ZOE,Shiba Inu,Manhattan,7,8/18/15,5/2/17
30010,JACKO,Jack Russell Terrier,Manhattan,7,8/19/15,8/30/16
30326,BILI,Maltese,Manhattan,7,8/22/15,8/22/16
31915,ABU ,Pug,Manhattan,7,9/4/15,10/3/16
32162,JASPER,Vizsla,Manhattan,7,9/8/15,9/8/16
32840,BLUE,Golden Retriever,Manhattan,7,9/13/15,9/13/16
33041,UNKNOWN,Chihuahua,Manhattan,7,9/15/15,9/15/16
33811,CARDELIA,American Pit Bull Terrier/Pit Bull,Manhattan,7,9/22/15,9/22/16
34210,MOE,Labrador Retriever,Manhattan,7,9/26/15,9/26/16
34293,UNKNOWN,Cocker Spaniel,Manhattan,7,9/27/15,9/27/16
34534,SAM,American Pit Bull Mix / Pit Bull Mix,Manhattan,7,9/29/15,9/29/16
34766,HENRI,"Schnauzer, Miniature",Manhattan,7,10/2/15,10/2/16
34845,AIMEE,Labrador Retriever,Manhattan,7,10/2/15,10/2/16
35534,ALANIS,"Poodle, Miniature",Manhattan,7,10/8/15,10/8/16
36203,UNKNOWN,Shiba Inu,Manhattan,7,10/16/15,10/16/16
36213,RAKKA,"Welsh Corgi, Pembroke",Manhattan,7,10/16/15,10/16/16
36362,UNKNOWN,French Bulldog,Manhattan,7,10/16/15,10/16/16
36683,HARLEY,Unknown,Manhattan,7,10/19/15,11/1/20
36742,TOBY,Cocker Spaniel,Manhattan,7,10/20/15,9/29/16
36910,CALYPSO,Siberian Husky,Manhattan,7,10/21/15,10/21/16
37144,MISS ,Unknown,Manhattan,7,10/22/15,10/7/16
37220,N/A,Standard Schnauzer,Manhattan,7,10/22/15,10/22/16
37257,PAJAMA ,Unknown,Manhattan,7,10/22/15,10/7/16
37349,NAME NOT PROVIDED,Brussels Griffon,Manhattan,7,10/23/15,10/23/16
37516,MISSY,Golden Retriever,Manhattan,7,10/25/15,9/18/16
37744,MAGNUS,German Shepherd Dog,Manhattan,7,10/28/15,10/28/16
38333,TEENY,Chihuahua Crossbreed,Manhattan,7,11/3/15,11/3/16
38556,MASTER ,French Bulldog,Manhattan,7,11/5/15,11/5/16
39412,CLARICE,Yorkshire Terrier,Manhattan,7,11/12/15,12/13/18
39916,ALLY,Shiba Inu,Manhattan,7,11/16/15,12/9/16
40356,MICK,Pug,Manhattan,7,11/20/15,10/19/20
40597,CHUCK,Golden Retriever,Manhattan,7,11/23/15,10/17/17
41036,TOBY,Labrador Retriever Crossbreed,Manhattan,7,11/27/15,8/4/16
41185,UNKNOWN,Morkie,Manhattan,7,11/28/15,11/28/16
41189,RIKA,French Bulldog,Manhattan,7,11/28/15,11/28/16
41518,ROSIE,Poodle Crossbreed,Manhattan,7,12/1/15,12/1/16
41589,GUERA,Soft Coated Wheaten Terrier,Manhattan,7,12/2/15,12/2/16
42094,LYCHEE,Havanese,Manhattan,7,12/5/15,12/6/16
42488,RUPEE,"Collie, Border",Manhattan,7,12/8/15,9/17/16
42619,ISABELLA,Yorkshire Terrier,Manhattan,7,12/9/15,1/20/17
42959,WELLINGTON,Unknown,Manhattan,7,12/11/15,1/21/17
43130,MARSHALL,Labradoodle,Manhattan,7,12/13/15,12/13/20
43205,FINLEY,West High White Terrier,Manhattan,7,12/13/15,7/15/16
43250,LOU ,Cavalier King Charles Spaniel,Manhattan,7,12/14/15,12/14/16
43317,SHEA,Flat-Coated Retriever,Manhattan,7,12/14/15,12/14/16
43346,OLIVER,Collie,Manhattan,7,12/14/15,12/12/17
44894,CHURRO,Yorkshire Terrier,Manhattan,7,12/28/15,12/28/16
45012,NAME NOT PROVIDED,Maltese,Manhattan,7,12/29/15,1/16/17
45113,ZOEY,Boston Terrier,Manhattan,7,12/30/15,12/30/16
45139,HUDSON,Labradoodle,Manhattan,7,12/30/15,12/30/16
45332,EKO,Ibizan Hound,Manhattan,7,1/1/16,1/1/17
45559,TEDDY ,Border Collie,Manhattan,7,1/3/16,1/15/21
45750,GROMIT,Boston Terrier,Manhattan,7,1/4/16,1/4/21
45836,MAX,Shiba Inu,Manhattan,7,1/5/16,1/5/17
45992,JACQUE ,Yorkshire Terrier,Manhattan,7,1/6/16,1/10/17
48670,MOCHA,Brussels Griffon,Manhattan,7,1/21/16,1/21/18
48673,MONTY ,Pug,Manhattan,7,1/21/16,2/28/17
50242,ARDY,Maltipoo,Manhattan,7,1/31/16,1/31/17
52174,OAKLEY,Border Collie,Manhattan,7,2/10/16,2/10/17
52799,BEN ,Papillon,Manhattan,7,2/12/16,2/15/17
52926,BARNEY ,Bassett Hound,Manhattan,7,2/13/16,3/14/17
54412,KOJI,Rat Terrier,Manhattan,7,2/21/16,2/21/17
54975,GIO,Shih Tzu,Manhattan,7,2/23/16,2/23/17
55541,BEAR,"Collie, Border",Manhattan,7,2/27/16,2/27/17
55653,OSCAR ,Chihuahua,Manhattan,7,2/27/16,4/14/17
56167,BRUTUS,Maltese,Manhattan,7,3/1/16,4/26/17
56363,SHELBY,Pug,Manhattan,7,3/2/16,1/31/17
56691,LUNA,Yorkshire Terrier,Manhattan,7,3/3/16,3/3/18
56863,FALKOR,Collie Crossbreed,Manhattan,7,3/4/16,3/4/17
58543,MAX,"Poodle, Standard",Manhattan,7,3/14/16,2/3/17
59314,FRANKIE ,Boston Terrier,Manhattan,7,3/16/16,3/16/17
60247,TEDDY,Brittany,Manhattan,7,3/21/16,3/21/17
60303,JULIO,Unknown,Manhattan,7,3/21/16,4/24/17
60395,PEONY,"Poodle, Miniature",Manhattan,7,3/22/16,2/13/17
60641,UNKNOWN,Australian Shepherd,Manhattan,7,3/23/16,3/23/17
60875,SHADOW ,Miniature Schnauzer,Manhattan,7,3/23/16,3/23/17
61110,N/A,Pembroke Welsh Corgi,Manhattan,7,3/24/16,3/24/17
61830,LOLA,Labrador Retriever,Manhattan,7,3/29/16,3/29/19
63302,UNKNOWN,Yorkshire Terrier Crossbreed,Manhattan,7,4/4/16,4/4/17
63434,EMMA,Shiba Inu,Manhattan,7,4/5/16,4/5/17
64923,BALOO,Coton de Tulear,Manhattan,7,4/11/16,4/11/17
65043,STELLA,Chihuahua,Manhattan,7,4/12/16,4/12/17
65190,SHORTY,Chihuahua,Manhattan,7,4/12/16,4/23/17
65336,OTTO,Poodle Crossbreed,Manhattan,7,4/13/16,4/13/21
65639,CHARLYE,Cocker Spaniel,Manhattan,7,4/15/16,4/15/17
66560,BILL,Miniature Pinscher,Manhattan,7,4/19/16,6/11/17
67554,RUGGIE,"Bull Dog, English",Manhattan,7,4/23/16,4/23/17
68133,FRANK,Boston Terrier,Manhattan,7,4/25/16,3/12/19
68924,CHEWY,Maltese,Manhattan,7,4/28/16,5/29/17
69044,BLUE,Australian Shepherd,Manhattan,7,4/29/16,6/16/17
69091,LUNA,French Bulldog,Manhattan,7,4/29/16,4/29/17
69324,ROOBY,Australian Cattledog,Manhattan,7,4/29/16,3/3/19
69664,BARNEY,Yorkshire Terrier,Manhattan,7,5/1/16,3/28/17
69685,MR. ,Shiba Inu,Manhattan,7,5/1/16,6/26/17
70133,WALLACE,Parson Russell Terrier,Manhattan,7,5/4/16,5/4/17
71067,WALLY ,Shiba Inu,Manhattan,7,5/8/16,5/8/17
72253, WINSTON,"Bull Dog, French",Manhattan,7,5/12/16,6/1/17
73669,MIMOSA,Shih Tzu,Manhattan,7,5/17/16,4/25/19
74076,GIO,Shih Tzu,Manhattan,7,5/18/16,5/18/17
74652,MAGIC,Unknown,Manhattan,7,5/20/16,7/13/17
75065,HANK,Labrador Retriever,Manhattan,7,5/22/16,4/28/17
75266,FOX,Australian Cattle Dog,Manhattan,7,5/23/16,5/23/17
76356,JINPA ,Tibetan Terrier,Manhattan,7,5/30/16,3/22/17
76493,RITA,Shetland Sheepdog,Manhattan,7,5/31/16,7/25/17
76618,LOLO,Shetland Sheepdog,Manhattan,7,5/31/16,7/25/17
76652,LEONARDO,Havanese,Manhattan,7,5/31/16,7/23/17
76920,BUZZ,American Staffordshire Terrier ,Manhattan,7,6/1/16,6/7/17
78020,ELLA,Yorkshire Terrier,Manhattan,7,6/6/16,6/6/17
78694,LAYLA,Unknown,Manhattan,7,6/9/16,6/18/17
78853,LUPE,Unknown,Manhattan,7,6/9/16,7/21/17
78943,CHUCKY,"Poodle, Miniature",Manhattan,7,6/9/16,5/27/18
79446,PI,Beagle Crossbreed,Manhattan,7,6/11/16,6/11/17
80941,FISHER,Beagle,Manhattan,7,6/16/16,6/16/18
80949,LONDI,Golden Retriever,Manhattan,7,6/16/16,6/16/18
81576,UNKNOWN,Pomeranian,Manhattan,7,6/19/16,6/19/17
81577,UNKNOWN,Pomeranian,Manhattan,7,6/19/16,6/19/17
81706,TESLA,Cairn Terrier,Manhattan,7,6/20/16,6/20/17
82230,GALA,Cocker Spaniel,Manhattan,7,6/22/16,6/22/17
83145,ARCHIE,Beagle,Manhattan,7,6/27/16,6/27/19
83308,CISCO ,Chihuahua,Manhattan,7,6/27/16,8/30/17
83381,RYLEE,"Coonhound, Black and Tan",Manhattan,7,6/28/16,7/27/21
83733,WAFFLES,Labrador Retriever,Manhattan,7,6/29/16,6/29/17
83847,ANDRE,"Poodle, Toy",Manhattan,7,6/29/16,6/3/17
84164,PUCCI,Morkie,Manhattan,7,6/30/16,6/30/17
84281,COLONEL ,French Bulldog,Manhattan,7,6/30/16,6/30/17
85173,MAXWELL ,Boston Terrier,Manhattan,7,7/6/16,7/31/17
85841,LOLA ,Unknown,Manhattan,7,7/8/16,8/5/17
