License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1306383,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,CHICK & CO LLC,COCU,26A CARMINE ST,,NEW YORK,NY,10014,801423,12/22/17,6/25/18,11/30/19,40.7302,-74.00265,"(40.7302, -74.00265)"
1310706,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NONNA BEPPA SOHO LLC,,290 HUDSON ST,,NEW YORK,NY,10013,824424,6/25/18,6/25/18,5/31/20,40.72549,-74.00744,"(40.72549, -74.00744)"
1309318,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,DH NEWLAND CORP,DUN HUANG UPPERWEST,1268 AMSTERDAM AVE,,NEW YORK,NY,10027,824425,6/26/18,6/26/18,5/31/20,40.81105,-73.95818,"(40.81105, -73.95818)"
1309187,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,JURAKU INC,IZAKAYA JURAKU,121 LUDLOW ST,,NEW YORK,NY,10002,824426,6/26/18,6/26/18,5/31/20,40.71967,-73.98868,"(40.71967, -73.98868)"
1310374,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,DIG INN 412 GREENWICH STREET LLC,DIG INN,412 GREENWICH ST,,NEW YORK,NY,10013,824429,6/27/18,6/27/18,5/31/20,40.72188,-74.00995,"(40.72188, -74.00995)"
1309401,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,ALIMADE LLC,DELI PLUS,2 W 45TH ST,,NEW YORK,NY,10036,824432,6/28/18,6/28/18,5/31/20,40.75558,-73.98013,"(40.75558, -73.98013)"
1309468,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,ITSU MANHATTAN LLC,ITSU,530 7TH AVE,GROUND FLOOR,NEW YORK,NY,10018,824431,6/28/18,6/28/18,5/31/20,40.75395,-73.9885,"(40.75395, -73.9885)"
1307707,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KUNI'S CORPORATION,IKINARI STEAK,2233 BROADWAY,,NEW YORK,NY,10024,824435,6/29/18,6/29/18,5/31/20,40.78444,-73.97975,"(40.78444, -73.97975)"
1292151,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,LUCKY 38 NOODLE HOUSE INC,MAIN NOODLE HOUSE,1011 6TH AVE,,NEW YORK,NY,10018,835313,7/5/16,7/1/18,6/30/20,40.75235,-73.98596,"(40.75235, -73.98596)"
1294646,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,1MJJET CORP,SHANGHAI MONG,30 W 32ND ST,,NEW YORK,NY,10001,835410,7/8/16,7/1/18,6/30/20,40.74772,-73.98708,"(40.74772, -73.98708)"
