GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
1500000US360610044005,360610044005,"Block Group 5, Census Tract 44, New York County, New York",1701,224,1477
1500000US360610044006,360610044006,"Block Group 6, Census Tract 44, New York County, New York",734,57,677
1500000US360610044007,360610044007,"Block Group 7, Census Tract 44, New York County, New York",1955,234,1721
1500000US360610044008,360610044008,"Block Group 8, Census Tract 44, New York County, New York",1221,127,1094
1500000US360610045001,360610045001,"Block Group 1, Census Tract 45, New York County, New York",646,116,530
1500000US360610047001,360610047001,"Block Group 1, Census Tract 47, New York County, New York",552,16,536
1500000US360610047002,360610047002,"Block Group 2, Census Tract 47, New York County, New York",1063,197,866
1500000US360610048001,360610048001,"Block Group 1, Census Tract 48, New York County, New York",725,29,696
1500000US360610048002,360610048002,"Block Group 2, Census Tract 48, New York County, New York",601,21,580
1500000US360610048003,360610048003,"Block Group 3, Census Tract 48, New York County, New York",332,27,305
1500000US360610048004,360610048004,"Block Group 4, Census Tract 48, New York County, New York",892,43,849
1500000US360610048005,360610048005,"Block Group 5, Census Tract 48, New York County, New York",1119,142,977
1500000US360610048006,360610048006,"Block Group 6, Census Tract 48, New York County, New York",968,82,886
1500000US360610048007,360610048007,"Block Group 7, Census Tract 48, New York County, New York",0,0,0
1500000US360610049001,360610049001,"Block Group 1, Census Tract 49, New York County, New York",875,31,844
1500000US360610049002,360610049002,"Block Group 2, Census Tract 49, New York County, New York",1174,219,955
1500000US360610049003,360610049003,"Block Group 3, Census Tract 49, New York County, New York",1045,37,1008
1500000US360610050001,360610050001,"Block Group 1, Census Tract 50, New York County, New York",617,0,617
1500000US360610050002,360610050002,"Block Group 2, Census Tract 50, New York County, New York",346,27,319
1500000US360610050003,360610050003,"Block Group 3, Census Tract 50, New York County, New York",590,31,559
1500000US360610050004,360610050004,"Block Group 4, Census Tract 50, New York County, New York",394,12,382
1500000US360610050005,360610050005,"Block Group 5, Census Tract 50, New York County, New York",1351,156,1195
1500000US360610052001,360610052001,"Block Group 1, Census Tract 52, New York County, New York",531,17,514
1500000US360610052002,360610052002,"Block Group 2, Census Tract 52, New York County, New York",1482,127,1355
1500000US360610054001,360610054001,"Block Group 1, Census Tract 54, New York County, New York",1182,236,946
1500000US360610054002,360610054002,"Block Group 2, Census Tract 54, New York County, New York",1051,50,1001
1500000US360610054003,360610054003,"Block Group 3, Census Tract 54, New York County, New York",887,30,857
